=== Cargo Screen Log Started ===
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=18, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=41, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=42, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=43, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=44, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=45, origin.facId=coastWarehouse
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=46, origin.facId=cityCommercial_parking2
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=47, origin.facId=cityCommercial_parking2
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=48, origin.facId=cityCommercial_parking2
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=49, origin.facId=cityCommercial_parking2
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=50, origin.facId=port
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=51, origin.facId=port
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=52, origin.facId=port
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=53, origin.facId=port
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:31] [I] cargoScreen: onCargoGenerated called: cargoId=54, origin.facId=port
[12:03:31] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=55, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=56, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=57, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=58, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=59, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=60, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=61, origin.facId=cityCommercial_parking2
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=62, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=63, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=64, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=65, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=66, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=67, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=68, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=69, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=70, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=71, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=72, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=73, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=74, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=75, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=76, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=77, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=78, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=79, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=80, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=81, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=82, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=83, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=84, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=85, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=86, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=87, origin.facId=logisticsGarage
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=88, origin.facId=logisticsGarage
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=89, origin.facId=logisticsGarage
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=90, origin.facId=logisticsGarage
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=91, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=92, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=93, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=94, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=95, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=96, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=97, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=98, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=99, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=100, origin.facId=firwoodNodeolineStore_parking
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=101, origin.facId=coastWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=102, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=103, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=104, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=105, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=106, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=107, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=108, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=109, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=110, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=111, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=112, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=113, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=114, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=115, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=116, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=117, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=118, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=119, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=120, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=121, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=122, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=123, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=124, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=125, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=126, origin.facId=port
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=127, origin.facId=firwoodMotorCompany
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=128, origin.facId=firwoodMotorCompany
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=129, origin.facId=firwoodMotorCompany
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=130, origin.facId=firwoodMotorCompany
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=131, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=132, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=133, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=134, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=135, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=136, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=137, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=138, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=139, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=140, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=141, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=142, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=143, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=144, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=145, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=146, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=147, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=148, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=149, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=150, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=151, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=152, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=153, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=154, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=155, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=156, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=157, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=158, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=159, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=160, origin.facId=cityCommercial_parking1
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=161, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=162, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=163, origin.facId=watchtowerInn
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=164, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=165, origin.facId=kikisDiner
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=166, origin.facId=bigWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=167, origin.facId=bigWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
[12:03:32] [I] cargoScreen: onCargoGenerated called: cargoId=168, origin.facId=bigWarehouse
[12:03:32] [I] cargoScreen: onCargoGenerated: cargoOverviewScreenOpen is false, returning
